id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2613909,"Comfy family home,central location.",3962880,Soraya & Shahin,Burnage,53.435477302000734,-2.198658584963349,Private room,30,1,23,2016-03-13,1.04,2,365
753374,"Comfy Family Home, Central Location",3962880,Soraya & Shahin,Burnage,53.435641670037484,-2.198358976664632,Private room,20,1,63,2015-12-20,1.53,2,0
8693211,Very comfortable double in Overlea,45641916,Leah Olwen,Burnage,53.4262194104934,-2.206232792525484,Private room,34,1,16,2016-03-17,2.54,1,141
2926014,Nice Double Ensuite w/Parking.,14940107,Ellie,Burnage,53.421159373169715,-2.212175840602709,Private room,30,1,26,2016-03-30,1.29,1,338
10379829,3 bedroom house in Burnage,16697099,Mo,Burnage,53.4312016425226,-2.2067398105783944,Entire home/apt,351,1,1,2016-04-07,1,11,348
5270940,Beautiful property sleeps upto 20,27284229,Abdul,Burnage,53.43369497999983,-2.207530780477353,Entire home/apt,400,1,6,2015-09-06,0.64,1,282
10606049,Large double bed spacious room,48077465,Gaz,Burnage,53.418895790367074,-2.216246765588687,Private room,26,1,3,2016-04-10,1.18,1,364
7494589,Immaculate flat close to great bars,39211790,Andrew,Chorlton,53.442203445035545,-2.290031422855008,Entire home/apt,69,1,22,2016-02-10,2.54,1,270
6052900,Double room in quirky loft flat,2686669,Stuart,Chorlton,53.44007272382866,-2.27666164582427,Private room,25,1,1,2016-03-11,0.94,1,326
9425292,"Lovely, modern 3 dbl bedroom house",48706766,Jeorge,Chorlton,53.44436008538793,-2.2784791466200134,Entire home/apt,105,1,14,2016-04-11,3.09,1,351
917498,"Attic single in WhiteRooms,Chorlton",4917842,Gwyn,Chorlton,53.43940273624191,-2.282049330891945,Private room,36,3,31,2016-02-29,0.84,4,304
917497,Single in WhiteRooms ChorltonGreen,4917842,Gwyn,Chorlton,53.4401014391484,-2.2818675995420716,Private room,36,3,42,2016-03-30,1.14,4,282
6419837,Double room in Whalley Range,33492379,Michael,Chorlton,53.45039888581579,-2.271582299116321,Private room,20,2,5,2016-01-18,1.03,1,0
6574274,"Chorlton-Cum-Hardy, Manchester",34380772,Jeff,Chorlton,53.4391278907218,-2.280734548997188,Private room,30,2,7,2016-03-12,0.69,2,293
1428087,Spacious double room lux apartment,7680218,Carolyn,Chorlton,53.44251004780946,-2.2774135809736658,Private room,35,1,24,2016-01-17,0.84,1,271
11469427,Large Flat in Trendy Chorlton,60341399,Umar,Chorlton,53.44149627180635,-2.286462733291361,Entire home/apt,55,1,0,,,2,30
6768991,Spacious residence in Chorlton,11056694,Paul,Chorlton,53.43724262617854,-2.274793183359454,Entire home/apt,119,3,3,2015-08-10,0.33,1,223
